date,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37
2001-04-03,0.16892834,-0.09747164,-0.5223226,1.490418,-1.3215238,-0.42742437,0.10117322,-0.368521,-0.27113724,-0.0630464,-0.2306864,-0.5720485,-0.012844863,-1.0066411,-0.23399276,-0.7864485,1.0140018,-0.6035851,-0.5636606,-0.09035966,0.058158092,-0.16128379,2.8794785,0.21004117,-0.61875606,0.28752464,-0.21396503,-0.10750198,0.5358966,-0.07146107,-0.34350228,-0.38579038,-0.1611122,0.402051,0.41306344,-0.19046906,-0.25626805
2001-04-04,-0.33810696,0.11440475,1.0467508,-0.4054424,0.5661506,-0.5340792,-0.3713677,-2.4334881,0.007814376,0.15752567,-0.016609564,-0.15789196,0.27364874,-0.323471,-0.018742995,-0.414898,0.7430843,-0.2782284,-0.17483012,-0.0537428,0.9170645,0.04814174,1.3890045,0.10705037,-0.13433757,-0.383136,0.095632896,0.00964506,0.12157349,-0.4817106,-0.041472435,0.17589614,0.09343604,0.32907575,0.32223216,0.17753178,0.23941568
2001-04-05,-0.034250055,-0.036049973,0.29287583,0.9451713,-0.19081825,-0.142602,0.06917513,1.0646397,-0.06488766,-0.13261591,-0.08564091,-0.4354717,0.4768989,0.011928335,-0.45109418,-0.18034239,-0.60998905,-0.30067378,-0.26092505,-0.17528479,-0.6203749,0.14025751,-0.79518694,-0.36499858,-0.14090993,0.15582196,-0.19490582,0.106077656,0.44771025,-0.60430807,0.2064281,-0.25643292,0.34597334,1.1298412,-0.09384206,-0.12115712,-0.016057009
2001-04-06,0.05372011,0.3564468,-0.016724862,-0.60084426,-0.7364195,-0.067127116,0.1382733,-0.61626595,-0.3450347,0.060892,0.003932471,-0.83107424,0.4219263,-0.49061698,0.5987001,-0.18731841,-0.23103246,-0.270554,-0.069814615,0.08870715,0.11400767,0.03168531,2.473245,0.3582075,-0.11019368,-0.5911318,0.31403005,0.14696512,0.52930135,0.16163218,-0.17996119,-0.05444324,0.19299002,-0.42280433,-0.5863066,-0.35488608,0.23426539
2001-04-09,0.029873695,-0.11672336,-1.0200752,0.6825645,0.30504945,-0.17590335,0.4096462,1.2963109,-0.6994385,0.08873407,-0.027480757,-0.8997524,-0.47701722,0.6314844,0.610259,0.053807255,-0.5251195,-1.0942521,0.0005500719,-0.19777907,-0.24642399,-0.07497614,0.3142036,-0.4982778,0.19118993,0.1253187,-0.3738736,-0.5888896,-0.031875152,-0.32150033,0.6516039,0.25865626,0.24789461,-0.106107034,-0.33875328,1.3000449,0.608097
2001-04-10,-0.32489538,-0.23860629,0.117843404,-0.37268478,-0.50950044,0.38703862,0.019362718,5.9698253,0.09874952,-0.008954373,-0.23982698,-0.35331035,0.10471603,-1.7971327,0.21576986,-0.19987006,-0.6073991,0.75442463,0.048745573,-0.36386064,-0.31136632,0.10340475,3.4981365,-0.22160728,0.23382859,-0.31345403,-0.2815062,0.2664771,0.15598181,-0.16322915,-0.39161414,-0.29780158,-0.46970797,-0.056317206,0.35636848,-0.13077398,0.09431139
2001-04-11,-0.36187974,-0.35954785,0.5508159,0.10889052,-0.07503416,0.1411126,-0.003822504,-0.11305748,-0.10023941,-0.37357646,-0.08247755,-0.32104412,0.80070424,-0.5417119,0.108171135,0.09438095,0.76870304,-0.37342134,-0.012023295,0.042753443,-0.080714285,-0.10444199,1.6104484,-0.3133447,0.12883854,-0.09634281,-0.093512855,0.37948203,0.60812914,-0.1877695,0.24067709,-0.19921248,0.31567174,0.58516324,-0.5641705,-0.0127848815,-0.15294638
2001-04-12,-0.34966367,0.16713585,0.93192184,-1.6974275,-0.85655755,0.066173,-0.08662391,3.0427809,0.18948412,0.95392245,-0.21777172,1.1257013,-0.1823826,2.9032202,1.3595701,-0.27576333,-0.6284603,-0.15435164,0.41769204,0.1983455,-0.09410835,-0.3593924,-1.225344,0.33793306,-0.26602644,-0.532828,0.6793191,-0.7561437,-0.9583721,1.5329276,-0.9180927,-0.3600276,-0.43890834,-0.017423727,-0.21697104,-0.1747626,0.68861806
2001-04-13,0.1766635,-0.239477,1.331446,-0.1929558,-0.48079497,-0.5653494,0.46396595,-0.729598,-0.4743357,-0.10100917,0.102205426,-1.312805,-0.08574192,0.1360797,0.25304154,-0.0038222682,-0.59106684,-0.59891737,-0.4131863,-0.031167809,-0.2946348,0.046064388,1.5767089,-0.15083763,-0.049114175,-0.2755576,0.23671523,0.9383748,-0.49434498,0.58464587,-0.24588455,-0.77632123,0.2858188,-1.3421787,-0.66926104,-0.42964765,-0.3581139
2001-04-16,0.015030684,-0.3325487,-1.8565875,-0.84604,-1.3872129,0.3546662,0.05554017,-0.13244101,-0.039033,0.15746993,0.057844568,1.0050839,-0.31174543,-0.08257629,-0.3334592,-0.54459935,0.02145617,-0.3830572,-0.23526078,-0.33842513,-0.6260388,-0.19597207,1.1172966,0.2266361,-0.42966512,-0.17434402,0.17873707,-0.90593284,-1.1581898,1.3189635,-0.41083008,-0.3620518,0.13028933,0.72329354,0.41755748,-0.33089638,-0.34002715
